,sno,sna,tot,sbi,sarea,mday,ar,bemp,act
0,500101001,YouBike2.0_捷運科技大樓站,28,0,大安區,2023-05-27 13:46:15,復興南路二段235號前,25,1
1,500101002,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-05-27 13:45:15,復興南路二段273號西側,21,1
2,500101003,YouBike2.0_國北教大實小東側門,16,0,大安區,2023-05-27 13:46:04,和平東路二段96巷7號,15,1
3,500101004,YouBike2.0_和平公園東側,11,3,大安區,2023-05-27 13:43:14,和平東路二段118巷33號,8,1
4,500101005,YouBike2.0_辛亥復興路口西北側,16,1,大安區,2023-05-27 13:40:21,復興南路二段368號,15,1
5,500101006,YouBike2.0_復興南路二段280號前,11,2,大安區,2023-05-27 13:26:19,復興南路二段280號,9,1
6,500101007,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-05-27 13:30:28,復興南路二段342號,10,1
8,500101009,YouBike2.0_新生南路三段66號前,16,2,大安區,2023-05-27 13:46:15,新生南路三段66號東側,14,1
10,500101012,YouBike2.0_辛亥路一段30號前,8,3,大安區,2023-05-27 13:46:15,辛亥路一段30號,5,1
13,500101015,YouBike2.0_大安運動中心停車場,14,3,大安區,2023-05-27 13:23:15,敦南街76巷28號,11,1
15,500101018,YouBike2.0_溫州公園,5,0,大安區,2023-05-27 13:42:04,羅斯福路三段283巷11號,5,1
17,500101020,YouBike2.0_溫州停車場,5,3,大安區,2023-05-27 13:41:15,新生南路三段54巷/溫州街口,2,1
18,500101021,YouBike2.0_銘傳國小側門,7,0,大安區,2023-05-27 13:46:15,羅斯福路四段21號旁天橋下,6,1
19,500101022,YouBike2.0_捷運公館站(2號出口),99,2,大安區,2023-05-27 13:46:15,捷運公館站(2號出口)外側,92,1
23,500101026,YouBike2.0_公館公園,15,2,大安區,2023-05-27 13:40:21,羅斯福路四段113巷基隆路四段41巷口,13,1
25,500101028,YouBike2.0_臺大醫學院附設癌醫中心,20,3,大安區,2023-05-27 13:44:17,基隆路三段155巷57號西側,17,1
26,500101029,YouBike2.0_臺大環研大樓,15,2,大安區,2023-05-27 13:40:21,芳蘭路/基隆路三段155巷口,13,1
28,500101031,YouBike2.0_臺大男七舍前,20,3,大安區,2023-05-27 13:40:21,長興街/長興街80巷口西側,17,1
